s,q
0.7229127476661802, 0.22921537947645088
0.828747736502523, 0.2267804715106978
0.9172658708531848, 0.22931207257256392
1.0059598108331427, 0.23433132328897188
1.0950053620716935, 0.24432587331446354
1.1759199029552923, 0.26426662681739077
1.2660202879696207, 0.28918707477013417
1.3384522072396758, 0.31409873244141284
1.3842056222640249, 0.3365095550359525
1.4391448814191032, 0.36390007208030806
1.4764156748299082, 0.39128179884319914
1.5045006241099843, 0.41368383115627383
1.5509572616515186, 0.44604525236898085
1.5884038606916198, 0.4759146287864138
1.6262020709903133, 0.5107593045129304
1.664088184103655, 0.5468478050667183
1.7025017141048857, 0.5903992545841318
1.7314656915314428, 0.625239535169916
1.769967124347322, 0.6700348095146006
1.8086443627924966, 0.7173177335138271
1.829037815790862, 0.755885093440692
1.867275540162796, 0.7969488933035634
1.9057769729786749, 0.8417441676482481
1.9168966790316628, 0.8740880082980256
1.937553840473972, 0.9163868427067033
1.94867354652696, 0.948730683356481
1.968539582637436, 0.9798350943197199
1.9884056187479118, 1.010939505282959
1.9991737135423073, 1.0383080466236527
2.0378509519874832, 1.0855909706228792
2.0410154533148157, 1.130368664404634
2.0793410805013974, 1.1726762890947766
2.10900828044514, 1.2174671682987288
2.1478613245196114, 1.2672377419524972
2.1782317469805386, 1.321979219774617
2.199416325310737, 1.3717410031469206
2.2561136407587767, 1.4240080167366957
2.27518855153742, 1.443918004254496
2.329248782546017, 1.458870273026142
2.356190995235668, 1.4651025825846942
2.3999226455231097, 1.4589054341520014
2.4255463159930377, 1.4464803713014889
2.450730472389726, 1.4278361843146214
2.475563017527821, 1.4042166980186703
2.500131854221972, 1.3768657372409063
2.5158664580439867, 1.3495103813224096
2.566058965208066, 1.3097343576941332
2.5984072009985755, 1.2674618941298499
2.631634464935567, 1.2376276788382763
2.6470174574989893, 1.205297023610696
2.680068915806684, 1.1729751586645802
2.6956277139994027, 1.1431321530915417
2.719932842249609, 1.1120497178319648
2.762258047502681, 1.0859513721629366
2.778168456953992, 1.061083665898982
2.8030889049067356, 1.0387080044303016
2.836316168843726, 1.008873789138728
2.869719238410014, 0.9815272235016964
2.903210210790949, 0.9554244826919357
2.9367011831718854, 0.929321741882175
3.013748000210967, 0.8945342029851794
3.082136390007208, 0.8622299186019936
3.1594469154902347, 0.8311738541868109
3.255656546122607, 0.8175401276348869
3.343823069214676, 0.815096429387669
3.441351242066771, 0.8201200752448092
3.5305725989346177, 0.832602274924843
3.611487139818218, 0.8525430284277703
3.674557409328247, 0.8699873419946906
3.7379792900968694, 0.8924069548706949
3.8010495596068985, 0.9098512684376153
3.9003357887519563, 0.9397514108401749
3.981777746523443, 0.967155113306728
4.054209665793499, 0.9920667709780066
4.126641585063553, 1.0169784286492853
4.207907737205746, 1.0418944814612963
4.279988045217208, 1.061830839823491
4.378219440586488, 1.076805084298799
4.476011321882527, 1.0855602046377524
4.5640020393453, 1.0806288567359925
4.660563281236266, 1.0719704294931522
4.7571245231272306, 1.063312002250312
4.82656774669925, 1.0459336157943775
4.9135915332008935, 1.0273201947926371
4.974024718271479, 1.0074497635414286
5.043467941843498, 0.9900713770854941
5.121745398287653, 0.9726973857702922
5.244281921907139, 0.9565891949860234
5.367521668043811, 0.9504316028199221
5.490497705736538, 0.9405425361720081
5.623274907262531, 0.9443399377648071
5.755876303159227, 0.9456496897030642
5.916298939892055, 0.965629999472583
6.076721576624885, 0.9856103092421017
6.1926214377384365, 1.0005933439988748
6.326013958966966, 1.0130975193825704
6.459582285824792, 1.0280893444208083
6.592799001424026, 1.0381058701499621
6.7163903588192895, 1.0369235772929448
6.874967036444508, 1.0307835656897733
7.033280005625779, 1.0209120796047888
7.2002514020498944, 1.008557339005995
7.358300662787223, 0.9949543784391975
7.498945166224224, 0.9850741020727483
7.6223607179901895, 0.981404159561189
7.781728520947241, 0.9864585714034563
7.932262091032155, 0.991508588104991
8.091717796803852, 0.9978068247745291
8.269193579578417, 1.0090891510346158
8.472644644081504, 1.0129217137532742
8.702598407200998, 1.0167674618941296
8.870448831771592, 1.0168509695680452
9.082382517888224, 1.0157126281183522
9.294316204004852, 1.0145742866686591
9.532137269035355, 1.004742356850266
9.699723985162004, 1.001094390042369
9.858915982489759, 1.0036611522300944
10.035512737117841, 1.0025052302174715
10.20327525887379, 1.001344913064116
10.38914576044725, 1.0064125103285804
10.636328475237775, 1.004047924614546
10.813013132680506, 1.0041358274291943
11.007805769940752, 1.010451644661662
11.166821961639211, 1.0105307571948452
11.34368242471124, 1.0131063096640354
11.502698616409697, 1.0131854221972185
11.69670012833811, 1.0083068159842477
11.900590706914436, 1.0183585028392605
12.041938432868621, 1.0184288250909792
12.182934547564214, 1.0135238480336137
12.351136583393401, 1.0185826550166133
12.510152775091859, 1.0186617675497969
12.668905258346372, 1.0150094056011671
12.845589915789102, 1.0150973084158152
13.048689369033598, 1.0139545718253897
13.19887132785992, 1.0140292892178406
13.357623811114431, 1.0103769272692111
13.51707951688613, 1.016675163938749
13.693939979958158, 1.0192507164079392
13.843770327525888, 1.0143501344913064
14.002698616409697, 1.0131854221972185
14.170900652238885, 1.018244229180218
14.338487368365536, 1.014596262372321
14.523918355865755, 1.0134447355004306
14.665353984634589, 1.01475888257942
14.850872874949454, 1.0148511805348006
